iter	Logloss
0	0.6885894062
1	0.6843035905
2	0.6800049393
3	0.6760183745
4	0.6719900554
5	0.6683765848
6	0.6643035796
7	0.6605471141
8	0.656656253
9	0.6528031765
10	0.649364641
11	0.6458570975
12	0.6424609096
13	0.6393867532
14	0.6360721385
15	0.6328645538
16	0.6295568617
17	0.6264945168
18	0.6234752812
19	0.6204296971
20	0.6175903351
21	0.6147054738
22	0.6120397021
23	0.6093299413
24	0.6066009642
25	0.6041042067
26	0.6015776706
27	0.5990159147
28	0.5966236264
29	0.5943226401
30	0.5920143591
31	0.5898586051
32	0.5875573482
33	0.5854170177
34	0.5832728844
35	0.5810507881
36	0.5790380154
37	0.5771527861
38	0.5751324839
39	0.5732221252
40	0.5713185131
41	0.569349304
42	0.56750481
43	0.565667668
44	0.5639338663
45	0.5628157641
46	0.5612296352
47	0.5595487716
48	0.5579991337
49	0.5563545817
50	0.5549192563
51	0.553378262
52	0.5518183503
53	0.5503845001
54	0.5488294247
55	0.5474820271
56	0.5461305404
57	0.5448398196
58	0.5434938236
59	0.5422637045
60	0.5409646532
61	0.5396657784
62	0.5384728079
63	0.5372516346
64	0.5360048034
65	0.534866595
66	0.5336829547
67	0.5325203204
68	0.5314719092
69	0.5304283812
70	0.5293779688
71	0.5283319942
72	0.5273789528
73	0.5264454408
74	0.5254211755
75	0.5244793151
76	0.5236081473
77	0.5227993925
78	0.5218767239
79	0.5210775881
80	0.5202670097
81	0.5194091077
82	0.518629761
83	0.5177739675
84	0.5170302323
85	0.5161778218
86	0.5153192308
87	0.5146228368
88	0.5139201279
89	0.5131265102
90	0.5124955797
91	0.5116987818
92	0.5109629445
93	0.5102632359
94	0.5095606209
95	0.5088088446
96	0.5082138406
97	0.5075875585
98	0.5069398763
99	0.5062410291
100	0.5056425828
101	0.5052912965
102	0.5046544088
103	0.5041173999
104	0.5034511063
105	0.5029066876
106	0.5023276345
107	0.5017748496
108	0.501139652
109	0.5006383782
110	0.5001091942
111	0.4995745825
112	0.4991214721
113	0.4986434638
114	0.4981885651
115	0.4976661009
116	0.4971793476
117	0.4967207891
118	0.4962625474
119	0.4957938297
120	0.4953200804
121	0.4948345817
122	0.4944362929
