iter	Logloss
123	0.4939751531
124	0.4935549734
125	0.4931573818
126	0.4927730094
127	0.4923345662
128	0.4919139876
129	0.4914747928
130	0.4910930565
131	0.4906149416
132	0.4902421267
133	0.4898870419
134	0.4895788329
135	0.4891562347
136	0.4887649585
137	0.4883614796
138	0.4879959267
139	0.487594917
140	0.4873847862
141	0.4870191447
142	0.4866684591
143	0.4863213802
144	0.4860143448
145	0.4857012488
146	0.4853430691
147	0.4850381608
148	0.4848747636
149	0.4845327787
150	0.4841637323
151	0.4838660106
152	0.4835076476
153	0.4831715377
154	0.4828741282
155	0.4825510455
156	0.4822525522
157	0.4819460207
158	0.481663262
159	0.4813628971
160	0.4810861719
161	0.4807861445
162	0.4805100377
163	0.4801836746
164	0.4798779114
165	0.4795929109
166	0.4793043994
167	0.4790423482
168	0.4787694668
169	0.4785251022
170	0.4782744211
171	0.4779963763
172	0.4776771634
173	0.4773956674
174	0.4771668538
175	0.4768931593
176	0.4766056716
177	0.4763134127
178	0.4760342084
179	0.4757938668
180	0.4755749524
181	0.4753392519
182	0.4750957144
183	0.4748692993
184	0.4745891574
185	0.4743536408
186	0.4741160236
187	0.4739035548
188	0.4736429472
189	0.4734101746
190	0.4732052857
191	0.4730169969
192	0.472765209
193	0.4725391295
194	0.4722873167
195	0.4720756368
196	0.4718508705
197	0.4716104705
198	0.4713800448
199	0.4711624538
200	0.4709436109
201	0.470763374
202	0.4705823082
203	0.4703938003
204	0.4701672407
205	0.4699228409
206	0.469701626
207	0.4695294471
208	0.4693056106
209	0.4690760207
210	0.4689210397
211	0.4687051751
212	0.468488913
213	0.4682750501
214	0.4680850583
215	0.4678589058
216	0.4676783576
217	0.4674738533
218	0.4672335814
219	0.4669954281
220	0.466790734
221	0.4665925968
222	0.4664197041
223	0.4662177062
224	0.466026698
225	0.4658381396
226	0.4656734552
227	0.4654732188
228	0.4652496428
229	0.4650953579
230	0.4648866451
231	0.4647046309
232	0.4645367272
233	0.464334182
234	0.4641631102
235	0.4639818867
236	0.4637991866
237	0.4636015237
238	0.4634334666
239	0.4632321706
240	0.4630501572
241	0.462888715
242	0.4627106077
243	0.4625621624
244	0.4623517009
245	0.4621785684
246	0.4620279483
247	0.4618480385
248	0.4616661158
249	0.4614999614
250	0.4613401942
251	0.4611773725
252	0.4609638378
253	0.4608234204
254	0.4606586201
255	0.4605166069
256	0.4603354539
257	0.4601540395
258	0.4599995371
259	0.4598003449
260	0.4596217203
261	0.4594417
262	0.4592829693
263	0.4591195515
264	0.458967959
265	0.458836821
266	0.4586822869
267	0.4585085504
268	0.4584004883
269	0.458212849
270	0.4580609947
271	0.4579138987
272	0.4577391994
273	0.4575766268
274	0.4574187659
275	0.457239602
276	0.4570795716
277	0.4569396842
278	0.4568172178
279	0.456659742
280	0.4565241445
281	0.4563860551
282	0.4562567678
283	0.4560826107
284	0.4559286982
285	0.4557932866
286	0.4556253034
287	0.4554788102
288	0.4553328635
289	0.4551944543
290	0.4550126545
291	0.4548911356
292	0.4547571506
293	0.4546543732
294	0.4545142048
295	0.454343503
296	0.4542254046
297	0.454139026
298	0.4539677864
299	0.4538141087
300	0.4536780384
301	0.4535479643
302	0.4534041536
303	0.4532664603
304	0.4531205915
305	0.4529467991
306	0.4528233291
307	0.4527320291
308	0.4525606871
309	0.4524464682
310	0.4523241502
311	0.4521883864
312	0.4520659753
313	0.4519312894
314	0.4518002007
315	0.451671712
316	0.4515089137
317	0.4513931834
318	0.4512405862
319	0.4511163151
320	0.4509735176
321	0.4508106389
322	0.4506488113
323	0.4504975328
324	0.4503705527
325	0.4502253433
326	0.450087915
327	0.4499651902
328	0.4498138637
329	0.4496706694
330	0.4495335171
331	0.4494063454
332	0.4492794301
333	0.4491412649
334	0.4490194313
335	0.4488574861
336	0.4487514718
337	0.448616237
338	0.4484706779
339	0.4483708765
340	0.4482381067
341	0.448216637
342	0.4480853667
343	0.4479451592
344	0.4478251085
345	0.4476926094
346	0.4475770091
347	0.4474639235
348	0.4473412675
349	0.4472060959
350	0.4470919081
351	0.4469777979
352	0.4468672521
353	0.4467292927
354	0.446587758
355	0.4464475317
356	0.4463327787
357	0.4461931314
358	0.4460426388
359	0.4459242269
360	0.4457963055
361	0.44563354
362	0.4454850375
363	0.4453505909
364	0.445208322
365	0.4450601592
366	0.4449205159
367	0.4448057907
368	0.4446848043
369	0.4445446839
370	0.4444130303
371	0.4442871716
372	0.4441563554
373	0.4440395645
374	0.4439457023
375	0.4438317143
376	0.4436939407
377	0.4435430467
378	0.4434641174
379	0.4433291919
380	0.4432183688
381	0.4431313614
382	0.4430220625
383	0.4429254938
384	0.4428301904
385	0.4427086782
386	0.4425969071
387	0.4424631535
388	0.4423358153
389	0.4422240399
390	0.4420789115
391	0.4419858586
392	0.4418675793
393	0.4417694858
394	0.4416571536
395	0.4415317113
396	0.4414262652
397	0.4412923043
398	0.4411840491
399	0.4410618364
400	0.440939954
401	0.4407967577
402	0.4407369811
403	0.4406304011
404	0.4405034726
405	0.4403641393
406	0.4402672359
407	0.4401510401
408	0.4400338054
409	0.4400202253
410	0.4399428738
411	0.4398477547
412	0.439731133
413	0.4396399016
414	0.439519522
415	0.4393837991
416	0.4392886773
417	0.4391849621
418	0.4390637448
419	0.4389590038
420	0.4388590374
421	0.4387509673
422	0.4386084891
423	0.4384941927
424	0.4383757773
425	0.438249508
426	0.4381578865
427	0.438047872
428	0.4379338058
429	0.4378256787
430	0.437695747
431	0.4375977526
432	0.4374999168
433	0.437361159
434	0.4372348217
435	0.4371539735
436	0.4370481062
437	0.4369471733
438	0.436845844
439	0.4367503962
440	0.4366340076
441	0.4365411782
442	0.4364197117
443	0.4363336178
444	0.4362268859
445	0.4361135314
446	0.4360092285
447	0.4359098419
448	0.4358133825
449	0.435700753
450	0.435578108
451	0.435476375
452	0.4353235828
453	0.4352083898
454	0.4351309341
455	0.4350191967
456	0.4349046205
457	0.4347801354
458	0.4346622027
459	0.4345581502
460	0.4344608758
461	0.4343416805
462	0.4342117876
463	0.4340901905
464	0.4339813155
465	0.4338667828
466	0.4337400507
467	0.4336336725
468	0.4335455696
469	0.433463861
470	0.4333415585
471	0.4332386463
472	0.4330909124
473	0.4329983649
474	0.4329126328
475	0.432834031
476	0.4327382292
477	0.4326263148
478	0.4325465221
479	0.4324354876
480	0.4323500964
481	0.4322453224
482	0.4321591062
483	0.4320818094
484	0.431940202
485	0.4318327291
486	0.4317476737
487	0.43163414
488	0.4315462803
489	0.4314360023
490	0.4313587671
491	0.4312464243
492	0.4311523491
493	0.4310608482
494	0.4309352246
495	0.4308710323
496	0.4307710013
497	0.4306896844
498	0.4305561469
499	0.4304453125
